Date,Sales,Profit
2024-01-01,1000,200
2024-01-02,1050,210
2024-01-03,1020,205
2024-01-04,1100,230
2024-01-05,1150,240
2024-01-06,1200,250
2024-01-07,1180,245
2024-01-08,1250,260
2024-01-09,1220,255
2024-01-10,1300,270
2024-01-11,1350,280
2024-01-12,1320,275
2024-01-13,1400,290
2024-01-14,1380,285
2024-01-15,1450,300
2024-01-16,1420,295
2024-01-17,1500,310
2024-01-18,1550,320
2024-01-19,1520,315
2024-01-20,1600,330
2024-01-21,1580,325
2024-01-22,1650,340
2024-01-23,1620,335
2024-01-24,1700,350
2024-01-25,1750,360
2024-01-26,1720,355
2024-01-27,1800,370
2024-01-28,1780,365
2024-01-29,1850,380
2024-01-30,1820,375
2024-01-31,1900,390
2024-02-01,1950,400
2024-02-02,1920,395
2024-02-03,2000,410
2024-02-04,2050,420
2024-02-05,2020,415
2024-02-06,2100,430
2024-02-07,2150,440
2024-02-08,2120,435
2024-02-09,2200,450
2024-02-10,2250,460
2024-02-11,2220,455
2024-02-12,2300,470
2024-02-13,2350,480
2024-02-14,2320,475
2024-02-15,2400,490
2024-02-16,2450,500
2024-02-17,2420,495
2024-02-18,2500,510
2024-02-19,2550,520
2024-02-20,2520,515
2024-02-21,2600,530
2024-02-22,2650,540
2024-02-23,2620,535
2024-02-24,2700,550
2024-02-25,2750,560
2024-02-26,2720,555
2024-02-27,2800,570
2024-02-28,2850,580
2024-02-29,2820,575
2024-03-01,2900,590
2024-03-02,2950,600
2024-03-03,2920,595
2024-03-04,3000,610
2024-03-05,3050,620
2024-03-06,3020,615
2024-03-07,3100,630
2024-03-08,3150,640
2024-03-09,3120,635
2024-03-10,3200,650
2024-03-11,3250,660
2024-03-12,3220,655
2024-03-13,3300,670
2024-03-14,3350,680
2024-03-15,3320,675
2024-03-16,3400,690
2024-03-17,3450,700
2024-03-18,3420,695
2024-03-19,3500,710
2024-03-20,3550,720
2024-03-21,3520,715
2024-03-22,3600,730
2024-03-23,3650,740
2024-03-24,3620,735
2024-03-25,3700,750
2024-03-26,3750,760
2024-03-27,3720,755
2024-03-28,3800,770
2024-03-29,3850,780
2024-03-30,3820,775
2024-03-31,3900,790
